All,Todos
"We can't process your request right now. Sorry, that's all we know.","De momento não é possível processar o seu pedido. Desculpe, é só isso que sabemos."
"Name: %name","Nome: %name"
"Email: %email","E-mail: %email"
"Phone Number: %telephone","Número de Telefone: %telephone"
"Comment: %comment","Comentário: %comment"
"Invalid domain name: %1","Nome de domínio inválido: %1"
"Invalid cookie lifetime: %1","Tempo de vida de cookie inválido: %1"
"Invalid cookie path","Caminho do cookie inválido"
"We use cookies to make your experience better.","Utilizamos cookies para melhorar a navegação dos nossos utilizadores."
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.","Para cumprir com a nova legislação de privacidade, precisamos de pedir o seu consentimento para continuar a usar cookies."
"<a href=""%1"">Learn more</a>.","<a href=""%1"">Saiba mais</a>."
"Allow Cookies","Permitir Cookies"
"Default Cookie Settings","Definições de Cookies Pré-definidas"
"Cookie Lifetime","Tempo de Vida do Cookie"
"Cookie Path","Caminho do Cookie"
"Cookie Domain","Domínio do Cookie"
"Use HTTP Only","Usar Apenas HTTP"
"Cookie Restriction Mode","Modo de Restrição de Cookies"
"We can't save the cron expression.","Não conseguimos gravar a expressão Cron."
Daily,Diário
Weekly,Semanal
Monthly,Mensal
"Invalid cron expression: %1","Expressão cron inválida: %1"
"Invalid cron expression, expecting 'match/modulus': %1","Expressão cron inválida, esperando 'match/modulus': %1"
"Invalid cron expression, expecting numeric modulus: %1","Expressão cron inválida, estava à espera de uma operação módulo numérica: %1"
"Invalid cron expression, expecting 'from-to' structure: %1","Expressão cron inválida, estava à espera de uma estrutura 'from-to': %1"
"Invalid callback: Not_Existed_Class::execute can't be called","Callback inválido: Not_Existed_Class:: execute não pode ser chamado"
"Test exception","Exceção de teste"
"Cron (Scheduled Tasks)","Cron (Tarefas Agendadas)"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set. All the times are in minutes.","Para URLs corretamente gerados durante operações cron por favor certifique-se que Web > URLs Base Seguro e Inseguro estão explicitamente definidos. Todos os tempos estão configurados em minutos."
"Cron configuration options for group:","Opções de configuração cron para grupo:"
"Generate Schedules Every","Gerar Agendamentos A Cada"
"Schedule Ahead for","Agendar antecipadamente para"
"Missed if Not Run Within","Falha se não for executado dentro de"
"History Cleanup Every","Limpar Histórico A Cada"
"Success History Lifetime","Tempo de vida do Histórico de Sucesso"
"Failure History Lifetime","Tempo de vida do Histórico de Falhas"
"Use Separate Process","Usar Processo Separado"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (tarefas agendadas) - tempo em minutos"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Para URLs corretamente gerados durante operações cron por favor certifique-se que Web > URLs Base Seguro e Inseguro estão explicitamente definidos. Todos os tempos estão configurados em minutos."
"Save Currency Rates","Gravar Taxas de Câmbio"
"Manage Currency Rates","Gerir Taxas de Câmbio"
"Import Service","Serviço de Importação"
"Save Currency Symbols","Gravar Símbolos de Moeda"
"Currency Symbols","Símbolos de Moeda"
"Use Standard","Usar o valor Pré-definido"
"Please specify a correct Import Service.","Por favor especifique um Serviço de Importação correto."
"We can't initialize the import model.","Não foi possível iniciar o modelo de importação."
"Click ""Save"" to apply the rates we found.","Clique em ""Gravar"" para aplicar as taxas que encontrámos."
"Currency Rates","Taxas de Câmbio"
"Please correct the input data for ""%1 => %2"" rate.","Por favor corrija os dados introduzidos para a taxa ""%1 => %2""."
"All valid rates have been saved.","Todas as taxas válidas foram gravadas."
"You applied the custom currency symbols.","Aplicou os símbolos de moeda personalizados."
"You must first configure currency options before being able to see currency rates.","Antes de ver as taxas de câmbio deverá configurar as opções da moeda."
"Old rate:","Taxa antiga:"
"Please correct the input data for %1 => %2 rate","Por favor, corrija os dados introduzidos para a taxa %1 => %2"
"The current module XML block name is undefined.","O nome do bloco XML do módulo atual está indefinido."
"The current module form model pathname is undefined.","O caminho para o formulário do modelo do módulo atual está indefinido."
"Use helper with defined EAV entity.","Usar ajudante com a entidade EAV definida."
"Default EAV Form","Formulário EAV Pré-definido"
"Please correct the values for minimum and maximum text length validation rules.","Por favor corrija os valores mínimos e máximos para as regras de validação de comprimento do texto."
"Please correct the values for minimum and maximum date validation rules.","Por favor corrija os valores mínimos e máximos para as regras de validação de datas."
"Text Field","Campo de Texto"
"Text Area","Área de Texto"
"Multiple Line","Múltiplas Linhas"
Yes/No,Sim/Não
"File (attachment)","Ficheiro (anexo)"
"Image File","Ficheiro de Imagem"
Alphanumeric,Alfanumérico
"Numeric Only","Apenas Numérico"
"Alpha Only","Apenas Alfa"
"Strip HTML Tags","Retirar Tags HTML"
"Escape HTML Entities","Escapar Entidades HTML"
"Normalize Date","Normalizar Data"
"The attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_) in this field. The first character should be a letter.","O código do atributo é inválido. Por favor use apenas letras (a-z), números (0-9) ou underscores (_) neste campo. O primeiro carácter deve ser uma letra."
"You are subscribed to our newsletter.","Subscreveu a nossa newsletter."
"You aren't subscribed to our newsletter.","Não subscreveu a nossa newsletter."
"You have not set a default shipping address.","Ainda não definiu uma morada de envio pré-definida."
"You have not set a default billing address.","Ainda não definiu uma morada de faturação pré-definida."
"Address Book","As Minhas Moradas"
"Edit Address","Editar Morada"
"Add New Address","Adicionar Nova Morada"
region,região
"Save Customer","Guardar cliente"
"Reset Password","Repor a Palavra-passe"
"Are you sure you want to revoke the customer's tokens?","Tem a certeza que pretende anular os tokens do cliente?"
"Force Sign-In","Forçar Início de Sessão"
"New Customer","Novo cliente"
"Shopping Cart from %1","Carrinho de Compras de %1"
"Newsletter Information","Informação da Newsletter"
"Subscribed to Newsletter","Subscrito à Newsletter"
"Last Date Subscribed","Última Data de Subscrição"
"Last Date Unsubscribed","Última Data de Cancelamento da Subscrição"
"No Newsletter Found","Nenhuma Newsletter Encontrada"
"Start date","Data de início"
"Receive Date","Data de Receção"
Subject,Assunto
Sent,Enviada
"Not Sent","Não Enviada"
Sending,Enviando
Paused,Pausada
Unknown,Desconhecido
"Bill-to Name","Nome do Destinatário de Faturação"
"Ship-to Name","Nome do Destinatário de Envio"
"Purchase Point","Ponto de Compra"
"There are no items in customer's shopping cart.","Não existem itens do carrinho de compras do cliente."
Confirmed,Confirmado
"Confirmation Required","Confirmação obrigatória"
"Confirmation Not Required","Confirmação não exigida"
Indeterminate,Indeterminado
"The customer does not have default billing address.","O cliente não tem uma morada de faturação pré-definida."
Never,Nunca
Unlocked,Desbloqueada
Locked,Bloqueada
"Deleted Stores","Lojas eliminadas"
"Add Locale","Adicionar Local"
"Add Date","Adicionar Data"
"Days in Wish List","Dias na Lista de Desejos"
Unlock,Desbloquear
"Delete Image","Apagar Imagem"
"View Full Size","Ver Tamanho Completo"
"All countries","Todos os países"
"Add New Customer Group","Adicionar grupo de cliente"
"Save Customer Group","Guardar grupo de cliente"
"Delete Customer Group","Remover grupo de cliente"
"New Customer Group","Novo grupo de cliente"
"Edit Customer Group ""%1""","Editar grupo de cliente ""%1"""
"Group Information","Informação do Grupo"
"Group Name","Nome do Grupo"
"Maximum length must be less then %1 characters.","O comprimento máximo deve ser inferior a %1 caracteres."
"Tax Class","Classe de Impostos"
"The customer is now assigned to Customer Group %s.","O cliente está agora associado ao Grupo de Cliente %s."
"Would you like to change the Customer Group for this order?","Gostaria de alterar o Grupo de Cliente para esta encomenda?"
"The VAT ID is valid.","O ID de IVA é válido."
"The VAT ID entered (%s) is not a valid VAT ID.","O ID de IVA inserido (%s) não é um ID válido."
"The VAT ID is valid. The current Customer Group will be used.","O NIF é válido. Será usado o Grupo de Cliente atual."
"The VAT ID is valid but no Customer Group is assigned for it.","O NIF é válido mas não está associado a nenhum Grupo de Cliente."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","Com base no NIF, o cliente pertence ao Grupo de Cliente %s."
"Something went wrong while validating the VAT ID.","Algo correu mal durante a validação do NIF."
"The customer would belong to Customer Group %s.","O cliente iria pertencer ao Grupo de Cliente %s."
"There was an error detecting Customer Group.","Ocorreu um erro na deteção do Grupo de Cliente."
"Validate VAT Number","Validar NIF"
"Customer Login",Login
"Create New Customer Account","Criar nova conta de cliente"
"Date of Birth","Data de Nascimento"
"Bad request.","Pedido Inválido."
"This confirmation key is invalid or has expired.","Esta chave de confirmação é inválida ou expirou."
